country,total_cases,new_cases,total_deaths,new_Deaths,total_recovered,new_recovered,active_cases,serious_cases,top_cases,deaths_cases,total_tests,tested_positive,population
Peru,4572667,,222161,,4350506,,0,4,135751,6595,39010194,1158115,33684208
Switzerland,4453053,,14452,,4438309,,292,N/A,507549,1647,23833472,2716487,8773637
Philippines,4140383,,66864,,4067381,,6138,N/A,36800,594,36102746,320888,112508994
South Africa,4076463,,102595,,3912506,,61362,192,67095,1689,26795090,441027,60756135
Romania,3529735,,68929,,3460149,390,657,21,185470,3622,28758667,1511122,19031335
Denmark,3183756,,8814,,3174942,,0,,545636,1511,129333107,22165247,5834950
Singapore,3006155,,2024,,3004131,,0,4,505785,341,24756666,4165302,5943546
Hong Kong,2937609,,14924,,2916005,,6680,N/A,386309,1963,76127725,10011143,7604299
Sweden,2754129,,27407,,2726492,20,230,N/A,269511,2682,19500873,1908301,10218971
New Zealand,2621111,,5697,,2613791,,1623,,535117,1163,7768604,1586011,4898203
Serbia,2615054,,18057,,2596608,,389,,302213,2087,13463733,1555958,8653016
Iraq,2465545,,25375,,2439497,,673,,58474,602,19544451,463523,42164965
Hungary,2230232,,49048,,2152155,,29029,,232164,5106,11394556,1186160,9606259
Bangladesh,2049377,,29493,,N/A,N/A,N/A,N/A,12207,176,15254399,90862,167885689
Slovakia,1877605,,21224,,1856381,,0,23,343872,3887,7448789,1364199,5460193
Georgia,1861665,,17132,,N/A,N/A,N/A,,469082,4317,16920079,4263340,3968738
Jordan,1746997,,14122,,1731007,,1868,59,169597,1371,17201885,1669945,10300869
Ireland,1734582,,9491,,1724921,,170,19,345521,1891,13083449,2606161,5020199
Pakistan,1581936,,30664,,1538689,,12583,,6893,134,30589153,133292,229488994
Finland,1516117,,11958,,1503989,14,170,N/A,272930,2153,12108977,2179850,5554960
Norway,1509732,,6638,,1503094,,0,N/A,273930,1204,11002430,1996315,5511370
Kazakhstan,1411831,,13848,,1383020,,14963,24,73514,721,11575012,602707,19205043
Lithuania,1397806,,9897,,1387478,,431,N/A,525154,3718,10540357,3959997,2661708
Slovenia,1356546,,7100,,1349424,,22,N/A,652803,3417,2847701,1370382,2078034
Bulgaria,1339851,,38748,,1292944,,8159,22,195753,5661,11671043,1705147,6844597
Croatia,1309728,,18687,,1258432,,32609,,322650,4604,5660084,1394355,4059286
Guatemala,1291293,,20289,,1269891,,1113,5,69484,1092,7593848,408622,18584039
Morocco,1278992,,16303,,N/A,N/A,N/A,N/A,33860,432,13001033,344191,37772756
Lebanon,1243838,,10952,,1087587,,145299,74,186068,1638,4795578,717380,6684849
Costa Rica,1238883,,9428,,N/A,N/A,N/A,N/A,239058,1819,4659757,899158,5182354
Bolivia,1212131,,22407,,1177145,,12579,220,101073,1868,2710261,225993,11992656
Tunisia,1153361,,29423,,N/A,N/A,N/A,N/A,95741,2442,5013383,416164,12046656
Cuba,1115251,,8530,,1106660,,61,,98645,754,14402674,1273936,11305652
Ecuador,1070188,,36043,,1034145,,0,,59083,1990,3082403,170173,18113361
UAE,1067030,,2349,,N/A,N/A,N/A,,105837,233,200732262,19910389,10081785
Panama,1059893,,8727,,1051102,,64,16,238341,1962,7882622,1772585,4446964
Uruguay,1041111,,7664,,1030944,,2503,18,297799,2192,6114822,1749083,3496016
Mongolia,1011496,,2284,,1009212,,0,N/A,299429,676,4030048,1193000,3378078
Nepal,1003450,,12031,,991322,,97,,33199,398,6047766,200088,30225582
Belarus,994037,,7118,,985592,,1327,,105381,755,13646641,1446722,9432800
Latvia,982505,,6715,,971406,,4384,,531418,3632,7885792,4265272,1848837
Saudi Arabia,841469,,9646,,N/A,N/A,N/A,,23475,269,45481735,1268848,35844909
Paraguay,837602,,20155,,N/A,N/A,N/A,N/A,114648,2759,2657506,363751,7305843
Azerbaijan,835234,,10400,,824089,,745,,81089,1010,7748050,752223,10300205
Bahrain,729549,,1574,,727915,,60,N/A,408944,882,10948549,6137138,1783983
Cyprus,681110,,1365,,679745,,0,,556741,1116,9640118,7879860,1223387
Dominican Republic,675890,,4384,,671316,,190,4,61131,397,3740928,338350,11056370
Sri Lanka,672754,,16897,,655852,,5,,31181,783,6486117,300619,21575842
Kuwait,667158,,2570,,N/A,N/A,N/A,,152308,587,8455743,1930391,4380326
Myanmar,641873,,19495,,620159,,2219,,11622,353,11711514,212061,55227143
Moldova,635145,,12218,,N/A,N/A,N/A,N/A,158265,3044,3216305,801437,4013171
Estonia,628070,,3001,,N/A,N/A,N/A,N/A,475123,2270,6968103,5271239,1321910
Palestine,621008,,5404,,615445,,159,,116173,1011,3078533,575907,5345541
Venezuela,552695,,5856,,546537,,302,31,18885,200,3359014,114771,29266991
Egypt,516023,,24613,,442182,,49228,122,4861,232,3693367,34792,106156692
Qatar,514524,,690,,513687,,147,16,172664,232,4065369,1364257,2979915
Libya,507274,,6437,,500835,,2,,72048,914,2483848,352782,7040745
China,503302,,5272,,379053,,118977,N/A,347,4,160000000,110461,"1,44,84,71,400"
Ethiopia,501157,,7574,,488171,,5412,,4148,63,5565340,46066,120812698
Réunion,494595,,921,,N/A,N/A,N/A,N/A,544672,1014,1603660,1766027,908061
Honduras,474590,,11165,,N/A,N/A,N/A,N/A,46432,1092,1660662,162472,10221247
Armenia,451831,,8777,,435162,,7892,,152031,2953,3242901,1091164,2971966
Bosnia and Herzegovina,403615,,16388,,379084,,8143,,124215,5044,1884721,580036,3249317
Oman,399449,,4628,,N/A,N/A,N/A,,75028,869,25000000,4695724,5323993
Luxembourg,391232,,1232,,N/A,N/A,N/A,,609044,1918,4587145,7140959,642371
North Macedonia,350567,,9976,,337068,,3523,,168436,4793,2226216,1069626,2081304
Zambia,349304,,4069,,341316,,3919,,17940,209,4112961,211244,19470234
Kenya,344130,,5689,,337309,,1132,N/A,6122,101,3967062,70569,56215221
Brunei,343719,,225,,243601,,99893,3,771655,505,717784,1611437,445431
Albania,334863,,3605,,330233,,1025,,116825,1258,1941032,677173,2866374
Botswana,330638,,2801,,327049,,788,1,135443,1147,2026898,830300,2441162
Montenegro,296542,,2846,,291794,,1902,N/A,472238,4532,2769281,4410034,627950
Algeria,272010,,6881,,183061,,82068,,5998,152,230960,5093,45350148
Nigeria,267188,,3155,,259953,,4080,11,1233,15,5708974,26339,216746934
Zimbabwe,266359,,5740,,258888,,1731,12,17373,374,2525756,164744,15331428
Uzbekistan,253662,,1637,,241486,,10539,23,7378,48,1377915,40077,34382084
Afghanistan,234174,,7996,,211080,,15098,,5746,196,1390730,34125,40754388
Mozambique,233731,,2250,,228805,,2676,11,7064,68,1371127,41437,33089461
Martinique,230354,,1102,,N/A,N/A,N/A,N/A,615777,2946,828928,2215870,374087
Laos,218970,,758,,N/A,N/A,N/A,,29270,101,1233207,164845,7481023
Iceland,209906,,229,,N/A,N/A,N/A,,607731,663,1996384,5780036,345393
Kyrgyzstan,206897,,2991,,196406,,7500,131,30750,445,1907195,283460,6728271
Guadeloupe,203235,,1021,,N/A,N/A,N/A,N/A,508349,2554,938039,2346306,399794
El Salvador,201855,,4230,,179410,,18215,,30816,646,2610114,398467,6550389
Trinidad and Tobago,191496,,4390,,187078,,28,N/A,136143,3121,913289,649295,1406585
Maldives,186694,,316,,163687,,22691,25,345100,584,2213831,4092223,540985
Namibia,172389,,4106,,167099,,1184,,65451,1559,1062663,403460,2633874
Uganda,172149,,3632,,100431,,68086,,3554,75,3012408,62198,48432863
Ghana,171889,,1462,,170425,,2,,5306,45,2541625,78456,32395450
Jamaica,156869,,3756,,N/A,N/A,N/A,,52551,1258,1183986,396633,2985094
Cambodia,139103,,3056,,136044,,3,,8102,178,3091420,180062,17168639
Rwanda,133518,,1468,,132039,,11,,9817,108,6021981,442778,13600464
Cameroon,125379,,1974,,123280,,125,N/A,4492,71,1751774,62762,27911548
Malta,121420,,885,,120149,,386,,273448,1993,2170600,4888375,444033
Barbados,110578,,648,,108647,,1283,,383921,2250,814159,2826715,288023
Angola,107327,,1937,,103419,,1971,,3064,55,1499795,42818,35027343
Channel Islands,101717,,228,,101321,,168,,576421,1292,1252808,7099551,176463
DRC,99338,,1468,,84489,,13381,,1043,15,846704,8890,95240792
French Guiana,98041,,420,,11254,,86367,6,312065,1337,651257,2072951,314169
Malawi,89535,,2686,,N/A,N/A,N/A,N/A,4437,133,624784,30959,20180839
Senegal,89053,,1971,,87024,,58,,5044,112,1146543,64946,17653671
Ivory Coast,88384,,835,,87497,,52,,3186,30,1690934,60951,27742298
Suriname,82588,,1408,,N/A,N/A,N/A,,138378,2359,242207,405822,596831
New Caledonia,80064,,314,,N/A,N/A,N/A,N/A,275214,1079,98964,340182,290915
French Polynesia,79254,,650,,N/A,N/A,N/A,N/A,278902,2287,,,284164
Eswatini,75191,,1427,,73116,,648,,63462,1204,1048704,885119,1184817
Guyana,74137,,1300,,72013,,824,,93366,1637,733218,923396,794045
Belize,71409,,688,,N/A,N/A,N/A,N/A,173243,1669,576016,1397453,412190
Fiji,69117,,885,,67226,,1006,,75997,973,672883,739866,909466
Madagascar,68486,,1426,,66862,,198,,2347,49,531329,18210,29178077
Cabo Verde,64477,,417,,63755,,305,23,113580,735,401622,707482,567678
Sudan,63993,,5046,,58947,,0,,1391,110,562941,12240,45992020
Mauritania,63848,,997,,62471,,380,,13025,203,1009957,206030,4901981
Bhutan,62697,,21,,61564,,1112,,79571,27,2303734,2923739,787941
Syria,57743,,3165,,54578,,0,,2982,163,146269,7553,19364809
Burundi,54721,,38,,53569,,1114,,4334,3,345742,27386,12624840
Seychelles,51220,,172,,51048,,0,,515157,1730,,,99426
Gabon,49051,,307,,48674,,70,,21038,132,1621909,695641,2331533
Andorra,48015,,165,,N/A,N/A,N/A,N/A,619844,2130,249838,3225256,77463
Papua New Guinea,46864,,670,,46168,,26,N/A,5043,72,249149,26813,9292169
Curaçao,45986,,295,,44720,,971,3,277812,1782,496693,3000640,165529
Aruba,44224,,292,,42438,,1494,2,410969,2714,177885,1653068,107609
Tanzania,43223,,846,,N/A,N/A,N/A,N/A,683,13,,,63298550
Mauritius,43025,,1051,,41278,,696,,33752,824,358675,281374,1274727
Mayotte,42027,,188,,N/A,N/A,N/A,,146815,657,176919,618038,286259
Togo,39572,,290,,39281,,1,,4559,33,815204,93908,8680837
Guinea,38572,,468,,37757,,347,N/A,2782,34,660107,47607,13865691
Bahamas,38084,,844,,36366,,874,1,95087,2107,257839,643767,400516
Isle of Man,38008,,116,,N/A,N/A,N/A,,443335,1353,150753,1758422,85732
Lesotho,36138,,723,,25980,,9435,,16610,332,431221,198199,2175699
Haiti,34667,,860,,33734,,73,,2968,74,132422,11337,11680283
Faeroe Islands,34658,,28,,N/A,N/A,N/A,N/A,703959,569,778000,15802409,49233
Mali,33164,,743,,32332,,89,,1544,35,804909,37483,21473764
Cayman Islands,31472,,37,,8553,,22882,1,467797,550,222773,3311280,67277
Saint Lucia,30215,,410,,29805,,0,,163225,2215,210983,1139752,185113
Benin,28036,,163,,27847,,26,,2193,13,604310,47268,12784726
Macao,27673,,123,,3487,,24063,,41458,184,7850,11760,667490
Somalia,27334,,1361,,13182,,12791,,1623,81,400466,23778,16841795
Micronesia,26547,,65,,N/A,N/A,N/A,N/A,225953,553,82430,701598,117489
San Marino,26185,,128,,26011,,46,N/A,768226,3755,196855,5775414,34085
Solomon Islands,25954,,199,,N/A,N/A,N/A,N/A,35989,276,,,721159
Congo,25375,,386,,24006,,983,,4377,67,347815,59991,5797805
Timor-Leste,23460,,138,,23102,,220,,17131,101,278529,203391,1369429
Burkina Faso,22114,,400,,21596,,118,,1001,18,248995,11265,22102838
Liechtenstein,21574,,94,,N/A,N/A,N/A,N/A,562013,2449,112457,2929559,38387
Gibraltar,20550,,113,,N/A,N/A,N/A,,609720,3353,534283,15852213,33704
Grenada,19693,,238,,19358,,97,4,173545,2097,182981,1612523,113475
Bermuda,18860,,165,,18685,,10,,304493,2664,1029558,16622128,61939
South Sudan,18819,,147,,18115,,557,1,1620,13,410280,35313,11618511
Nicaragua,18491,,225,,4225,,14041,,2728,33,,,6779100
Tajikistan,17786,,125,,17264,,397,,1786,13,,,9957464
Equatorial Guinea,17229,,183,,16907,,139,5,11512,122,365697,244342,1496662
Monaco,17181,,67,,N/A,N/A,N/A,N/A,431868,1684,78646,1976875,39783
Samoa,17006,,31,,1605,,15370,,84089,153,187397,926612,202239
Tonga,16950,,13,,15638,,1299,,157310,121,535009,4965327,107749
Marshall Islands,16138,,17,,16121,,0,,268711,283,,,60057
Dominica,16038,,74,,15964,,0,,221691,1023,229344,3170187,72344
Djibouti,15690,,189,,15427,,74,,15441,186,305941,301094,1016097
CAR,15440,,113,,15200,,127,2,3078,23,81294,16205,5016678
Gambia,12626,,372,,12189,,65,,4935,145,155686,60851,2558482
Saint Martin,12324,,63,,N/A,N/A,N/A,N/A,310194,1586,112382,2828643,39730
Vanuatu,12019,,14,,11976,,29,,37346,44,24976,77606,321832
Greenland,11971,,21,,2761,,9189,4,210117,369,164926,2894810,56973
Yemen,11945,,2159,,9124,,662,N/A,383,69,329592,10579,31154867
Caribbean Netherlands,11682,,38,,10476,,1168,,438398,1426,30126,1130559,26647
Sint Maarten,11051,,92,,10905,,54,N/A,251353,2093,62056,1411454,43966
Eritrea,10189,,103,,10086,,0,,2782,28,23693,6470,3662244
Niger,9931,,312,,8890,,729,1,381,12,254538,9759,26083660
St. Vincent Grenadines,9674,,124,,9493,,57,,86723,1112,114197,1023720,111551
Guinea-Bissau,9614,,177,,8929,,508,6,4659,86,145231,70385,2063367
Comoros,9109,,161,,8939,,9,,10038,177,,,907419
Antigua and Barbuda,9106,,146,,8954,,6,N/A,91509,1467,18901,189943,99509
Liberia,8090,,295,,7783,,12,2,1525,56,139824,26356,5305117
Sierra Leone,7779,,126,,N/A,N/A,N/A,,937,15,259958,31296,8306436
Chad,7701,,194,,4874,,2633,,442,11,191341,10988,17413580
British Virgin Islands,7392,,64,,N/A,N/A,N/A,,241600,2092,107339,3508269,30596
Cook Islands,7203,,2,,7150,,51,,409937,114,19690,1120596,17571
Sao Tome and Principe,6778,,80,,6685,,13,,29770,351,29600,130008,227679
Turks and Caicos,6752,,40,,6709,,3,4,169900,1007,616788,15520193,39741
Saint Kitts and Nevis,6607,,48,,6559,,0,,122645,891,126958,2356704,53871
Palau,6290,,10,,6276,,4,,344979,548,71434,3917841,18233
St. Barth,5507,,6,,N/A,N/A,N/A,,553746,603,78646,7908095,9945
Nauru,5393,,1,,5347,,45,,494635,92,20509,1881042,10903
Kiribati,5085,,24,,2703,,2358,3,41201,194,,,123419
Anguilla,3904,,12,,N/A,N/A,N/A,N/A,256336,788,51382,3373736,15230
Wallis and Futuna,3550,,8,,438,,3104,,323256,728,20508,1867419,10982
Saint Pierre Miquelon,3452,,2,,2449,,1001,,599410,347,25400,4410488,5759
Tuvalu,2943,,1,,N/A,N/A,N/A,N/A,243909,83,,,12066
Saint Helena,2166,,,,2,,2164,,354211,,,,6115
Falkland Islands,1930,,,,1930,,0,,545352,,8632,2439107,3539
Montserrat,1403,,8,,1376,,19,,282578,1611,17762,3577442,4965
Niue,1059,,,,1056,,3,,652898,,,,1622
Diamond Princess,712,,13,,699,,0,,,,,,
Tokelau,80,,,,,,80,,58055,,,,1378
Vatican City,29,,,,29,,0,,36295,,,,799
Western Sahara,10,,1,,9,,0,,16,2,,,626161
MS Zaandam,9,,2,,7,,0,,,,,,
